Developed by Yury Rozhkov 

  данные http://egr.gov.by за период: 24.11.2021 - 26.11.2021 

193601871 ; Общество с ограниченной ответственностью "Ателье ШуШу" ; 2021-11-23 ; г. Минск Центральный район ; +375 44 735-91-56, +375 29 379-14-31 ; Производство прочей верхней одежды
193601884 ; Общество с ограниченной ответственностью "Агентство Эдельвейс" ; 2021-11-23 ; г. Минск Фрунзенский район ; +375 44 517-89-76 ; Деятельность по созданию рекламы
193601897 ; Общество с ограниченной ответственностью "Аняан Краска Компания" ; 2021-11-23 ; г. Минск Советский район ; +375 29 320-62-22 ; Производство красок, лаков, эмалей, минеральных пигментов для них
193601907 ; Общество с ограниченной ответственностью "САС-трейдинвест" ; 2021-11-23 ; г. Минск Центральный район ; +375 29 699-29-30 ; Предоставление услуг парикмахерскими и салонами красоты
193601922 ; Общество с ограниченной ответственностью "СпиритСтрой" ; 2021-11-23 ; г. Минск Фрунзенский район ; +375 29 838-34-99 ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
193601935 ; Общество с ограниченной ответственностью "КузЛяв" ; 2021-11-23 ; г. Минск Центральный район ; +375 44 536-17-45 ; Оптовая торговля фруктами и овощами
193601948 ; Общество с ограниченной ответственностью "Фитнес Стиль" ; 2021-11-23 ; г. Минск Московский район ; +375 29 676-90-92 ; Деятельность фитнес-клубов
193601950 ; Общество с ограниченной ответственностью "АСЭМИ" ; 2021-11-23 ; г. Минск Фрунзенский район ; +375 44 728-51-23 ; Предоставление услуг парикмахерскими и салонами красоты
193601963 ; Общество с ограниченной ответственностью "Гандикап" ; 2021-11-23 ; г. Минск Советский район ; +375 29 620-86-20 ; Сдача внаем собственного и арендуемого недвижимого имущества
193601976 ; Общество с ограниченной ответственностью "Мясашмат Супер" ; 2021-11-23 ; г. Минск Первомайский район ; +375 29 657-65-05 ; Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями
193601989 ; Частное торговое унитарное предприятие "Алик Вкус" ; 2021-11-23 ; г. Минск Фрунзенский район ; +375 44 702-96-25 ; Оптовая торговля хлебобулочными изделиями
193601991 ; Общество с ограниченной ответственностью "ДК Хаус" ; 2021-11-23 ; г. Минск Ленинский район ; +375 25 647-55-50 ; Оптовая торговля прочими бытовыми товарами
193602002 ; Общество с ограниченной ответственностью "ИрлапЗапчасть" ; 2021-11-23 ; г. Минск Заводской район ; № телефона не обнаружен ; Неспециализированная оптовая торговля товарами
193602028 ; Общество с ограниченной ответственностью "На моря и океаны" ; 2021-11-23 ; г. Минск Советский район ; +375 44 770-19-74 ; Турагентская деятельность
193602030 ; Общество с ограниченной ответственностью "ГиолаТрейд" ; 2021-11-23 ; г. Минск Октябрьский район ; +375 29 628-22-56 ; Деятельность ресторанов
193602043 ; Общество с ограниченной ответственностью "Буэрвэй" ; 2021-11-23 ; г. Минск Советский район ; +375 33 371-86-89 ; Деятельность ресторанов
193602056 ; Общество с ограниченной ответственностью "Кино и ТВ отличного настроения" ; 2021-11-23 ; г. Минск Центральный район ; +375 44 758-88-76 ; Деятельность по производству кино-, видеофильмов и телевизионных программ
193602069 ; Частное унитарное предприятие "ВладленА" ; 2021-11-23 ; г. Минск Фрунзенский район ; +375 29 306-67-68 ; Розничная торговля прочими продуктами питания в специализированных магазинах, не включенными в другие группировки
193602084 ; Частное торговое унитарное предприятие "Континенталь-Нержавеющая сталь" ; 2021-11-23 ; г. Минск Первомайский район ; +375 29 676-06-56 ; Оптовая торговля чугуном, сталью и их литьем, прокатом, в том числе трубами
193602097 ; Общество с ограниченной ответственностью "Криддер" ; 2021-11-23 ; г. Минск Заводской район ; +375 29 603-85-95 ; Оптовая торговля прочими продуктами питания, не включенными в другие группировки
193602107 ; Общество с ограниченной ответственностью "МитрофанДрайв" ; 2021-11-23 ; г. Минск Ленинский район ; +375 29 271-64-03 ; Деятельность такси
193602122 ; Общество с ограниченной ответственностью "Кейтеринг Тайм" ; 2021-11-23 ; г. Минск Центральный район ; +375 44 757-05-61 ; Обслуживание мероприятий и поставка готовой пищи на заказ
193602135 ; Общество с ограниченной ответственностью "ПочепТранс" ; 2021-11-23 ; г. Минск Партизанский район ; +375 29 271-64-03 ; Деятельность такси
193602148 ; Общество с ограниченной ответственностью "СерПатТранс" ; 2021-11-23 ; г. Минск Партизанский район ; +375 29 271-64-03 ; Деятельность такси
193602150 ; Общество с ограниченной ответственностью "ОлеГуннарТакс" ; 2021-11-23 ; г. Минск Ленинский район ; +375 29 271-64-03 ; Деятельность такси
193602163 ; Общество с ограниченной ответственностью "Бутик Продукт" ; 2021-11-23 ; г. Минск Ленинский район ; +375 29 755-83-68, +375 17 240-79-43 ; Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями
